super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;1;12;N2;300;332;21-10-2024;Lisa;
1;1;12;N2;300;118;21-10-2024;Lisa;Bacterial infection
1;1;12;N2;300;242;21-10-2024;Lisa;
1;1;12;N2;400;129;21-10-2024;Lisa;
1;1;12;N2;400;70;21-10-2024;Lisa;Bacterial infection
1;1;12;N2;400;98;21-10-2024;Lisa;Bacterial infection
1;1;13;NIC2;0;876;21-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;13;NIC2;0;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;0;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;100;516;21-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;13;NIC2;100;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;100;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;200;358;21-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;13;NIC2;200;323;21-10-2024;Lisa;
1;1;13;NIC2;200;400;21-10-2024;Lisa;
1;1;13;NIC2;300;293;21-10-2024;Lisa;
1;1;13;NIC2;300;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;300;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;400;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;400;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;13;NIC2;400;NA;21-10-2024;Lisa;Insufficient L4s to fish
1;1;14;NIC526;0;340;22-10-2024;Rick;
1;1;14;NIC526;0;476;22-10-2024;Rick;
1;1;14;NIC526;0;173;22-10-2024;Rick;
1;1;14;NIC526;100;372;22-10-2024;Rick;
1;1;14;NIC526;100;204;22-10-2024;Rick;
1;1;14;NIC526;100;240;22-10-2024;Rick;
1;1;14;NIC526;200;340;22-10-2024;Rick;
1;1;14;NIC526;200;304;22-10-2024;Rick;
1;1;14;NIC526;200;188;22-10-2024;Rick;
1;1;14;NIC526;300;140;22-10-2024;Rick;
1;1;14;NIC526;300;209;22-10-2024;Rick;
1;1;14;NIC526;300;182;22-10-2024;Rick;
1;1;14;NIC526;400;74;22-10-2024;Rick;
1;1;14;NIC526;400;67;22-10-2024;Rick;
1;1;14;NIC526;400;122;22-10-2024;Rick;
1;1;15;QX1794;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;0;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;100;584;22-10-2024;Lisa;Fished 1 L4, count multiplied by 2
1;1;15;QX1794;100;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;100;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;200;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;200;NA;22-10-2024;Lisa;Insufficient L4s to fish
1;1;15;QX1794;200;NA;22-10-2024;Lisa;Insufficient L4s to fish
